DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,comments,Oribatids,Mesostig,Prostig,TOTAL,%Oribatids,%Mesostig,%Prostig
07-Nov-06,,13C,46,A,0,OM,0-3,45.22,56.62,50.09,4.87,,71,8,39,118,60.17,6.78,33.05
07-Nov-06,,13D,53,A,0,OM,3-6,45.03,58.76,51.11,6.08,,169,8,23,200,84.5,4,11.5
07-Nov-06,,12B,9B,A,0,OM,6-9,45.06,60.36,50.98,5.92,,124,3,34,161,77.02,1.86,21.12
07-Nov-06,,12D,7,A,0,OM,9-12,45.04,61.54,57.04,12,,152,5,237,394,38.58,1.27,60.15
07-Nov-06,,11A,10,A,0,OM,12-15,44.47,69.12,59.65,15.18,,151,7,172,330,45.76,2.12,52.12
07-Nov-06,,11B,5,A,0,min,,45.55,70.63,66.49,20.94,,76,2,98,176,43.18,1.14,55.68
07-Nov-06,,11C,70,A,E,OM,0-3,45.91,53.56,48.13,2.22,,98,9,36,143,68.53,6.29,25.17
07-Nov-06,,11D,55,A,E,OM,3-6,42.98,62.63,54.58,11.6,,40,1,130,171,23.39,0.58,76.02
07-Nov-06,,10A,24,A,E,min,,46.49,99.76,90.6,44.11,,16,1,111,128,12.5,0.78,86.72
07-Nov-06,,10B,65,A,10,mix,0-3,44.31,68.28,61.77,17.46,,116,7,144,267,43.45,2.62,53.93
07-Nov-06,,10C,60,A,10,mix,3-6,44.86,69.61,64.45,19.59,,9,2,37,48,18.75,4.17,77.08
07-Nov-06,,10D,2B,A,10,min,,46.52,66.71,63.61,17.09,,0,2,22,24,0,8.33,91.67
07-Nov-06,,9A,157,A,20,mix,0-3,43.78,65.97,56.06,12.28,,67,4,153,224,29.91,1.79,68.3
07-Nov-06,,9B,62,A,20,min,,45.32,71.48,66.14,20.82,,22,1,243,266,8.27,0.38,91.35
07-Nov-06,,9C,10C,A,30,OM,0-3,42.92,66.23,56.74,13.82,,62,7,87,156,39.74,4.49,55.77
07-Nov-06,,9D,A1,A,30,mix,3-6,46.39,77.52,68.33,21.94,,30,1,44,75,40,1.33,58.67
07-Nov-06,,8A,62A,A,30,min,,45.21,78.13,72.72,27.51,,7,2,8,17,41.18,11.76,47.06
,,,,,,,,,,,,,,,,,,,
07-Nov-06,,18A,1,B,0,OM,0-3,45.98,63.58,53.44,7.46,,34,2,54,90,37.78,2.22,60
07-Nov-06,,18B,23B,B,0,OM,3-6,45.55,59.16,53.05,7.5,,33,58,4,95,34.74,61.05,4.21
07-Nov-06,,18D,1B,B,0,OM,6-9,44.45,58.89,50.73,6.28,,10,1,25,36,27.78,2.78,69.44
07-Nov-06,,17A,10B,B,0,OM,9-12,45.09,54.7,49.42,4.33,,11,1,24,36,30.56,2.78,66.67
07-Nov-06,,17B,3A,B,0,min, ,45.12,71.69,65.83,20.71,,62,2,32,96,64.58,2.08,33.33
07-Nov-06,,17C,2,B,E,OM,0-3,43.88,55.85,49.2,5.32,,38,8,9,55,69.09,14.55,16.36
07-Nov-06,,17D,72,B,E,OM,3-6,46.52,59.28,52.05,5.53,,77,8,99,184,41.85,4.35,53.8
07-Nov-06,,16A,5,B,E,OM,6-9,44.35,52.99,50.47,6.12,,120,4,96,220,54.55,1.82,43.64
07-Nov-06,,16B,3B,B,E,min,,43.57,79.48,73.89,30.32,,112,14,79,205,54.63,6.83,38.54
07-Nov-06,,16C,65,B,10,OM,0-3,42.99,53.71,48.08,5.09,,111,7,79,197,56.35,3.55,40.1
07-Nov-06,,16D,4,B,10,OM,3-6,46.29,51.52,51.16,4.87,,41,5,180,226,18.14,2.21,79.65
07-Nov-06,,15A,2,B,10,OM,6-9,42.9,51.52,47.69,4.79,,42,4,71,117,35.9,3.42,60.68
07-Nov-06,,15B,64,B,10,OM,9-12,44.35,56.1,50.25,5.9,,25,1,66,92,27.17,1.09,71.74
07-Nov-06,,15C,6,B,10,OM,12-15,45.98,57.27,52.32,6.34,,24,7,53,84,28.57,8.33,63.1
07-Nov-06,,15D,37,B,10,OM,15-18,43.99,54.17,50.49,6.5,,29,6,61,96,30.21,6.25,63.54
07-Nov-06,,14A,68,B,10,min,,45.85,79.51,73.15,27.3,,30,4,69,103,29.13,3.88,66.99
