SITE,A0 OM 0-3,A0 OM 3-6,A0 OM 6-9,A0 OM 9-12,A0 OM 12-15,A0 Mineral,AE OM 0-3,AE OM 3-6,AE Mineral,A10 Mix 0-3,A10 Mix 3-6,A10 Mineral,A20 Mix 0-3,A20 Mineral,A30 OM 0-3,A30 Mix 3-6,A30 Mineral,B0 OM 0-3,B0 OM 3-6,B0 OM 6-9,B0 OM 9-12,B0 Mineral,BE OM 0-3,BE OM 3-6,BE OM 6-9,BE Mineral,B10 OM 0-3,B10 OM 3-6,B10 OM 6-9,B10 OM 9-12,B10 OM 12-15,B10 OM 15-18,B10 Mineral,B20 Mix 0-3,B20 Mineral,B30 Mix 0-3,B30 Mix 3-6,B30 Mineral,C0 OM 0-3,C0 OM 3-6,C0 Mineral,CE OM 0-3,CE Mineral,C10 OM 0-3,C10 Mineral,C20 OM 0-3,C20 Mineral,C30 OM 0-3,C30 Mineral,D0 OM 0-3,D0 OM 3-6,D0 OM 6-9,D0 Mineral,DE OM 0-3,DE OM 3-6,DE OM 6-9,DE Mineral,D10 Mix 0-3,D10 Mix 3-6,D10 Mix 6-9,D10 Mix 9-12,D10 Mineral,D20 Mix 0-3,D20 Mineral,D30 Mix 0-3,D30 Mineral,E0 OM 0-3,E0 OM 3-6,E0 Mix 6-9,E0 Mineral,E10 OM 0-3,E10 Mineral,E20 OM 0-3,E20 OM 3-6,E20 OM 6-9,E20 Mix 9-12,E20 Mineral,E30 OM 0-3,E30 OM 3-6,E30 OM 6-9,E30 OM 9-12,E30 Mineral,F0 OM 0-3,F0 OM 3-6,F0 Mineral,F10 OM 0-3,F10 OM 3-6,F10 OM 6-9,F10 Mineral,F20 OM 0-3,F20 OM 3-6,F20 OM 6-9,F20 Mineral,F30 OM 0-3,F30 OM 3-6,F30 OM 6-9,F30 OM 9-12,F30 Mineral,G0 OM 0-3,G0 Mix 3-6,G0 Mix 6-9,G0 Mix 9-12,G0 Mix 12-15,G0 Mineral,G10 Mix 0-3,G10 Mix 3-6,G10 Mix 6-9,G10 Mix 9-12,G10 Mineral,G20 OM 0-3,G20 Mix 3-6,G20 Mineral,G30 OM 0-3,G30 Mix 3-6,G30 OM 6-9,G30 OM 9-12,G30 Mineral,H0 OM 0-3,H0 OM 3-6,H0 Mineral,H10 OM 0-3,H10 Mineral,H20 OM 0-3,H20 Mix 3-6,H20 Mix 6-9,H20 Mix 9-12,H20 Mineral,H30 OM 0-3,H30 OM 3-6,H30 OM 6-9,H30 OM 9-12,H30 Mineral,CC1 Mix 0-3,CC1 Mix 3-6,CC1 Mineral,CC2 OM 0-3,CC2 OM-3-6,CC2 Mineral,CC3 OM 0-3,CC3 Mix 3-6,CC3 Mix 6-9,CC3 Mineral,CC4 OM 0-3,CC4 OM 3-6,CC4 Mineral,CON1 OM 0-3,CON1 OM 3-6,CON1 OM 6-9,CON1 Mineral,CON2 OM 0-3,CON2 OM 3-6,CON2 OM 6-9,CON2 Mineral,CON3 Mix 0-3,CON3 Mix 3-6,CON3 Mineral,CON4 OM 0-3,CON4 OM 3-6,CON4 OM 6-9,CON4 Mineral
Allosuctobelba sp.,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,
Atopochthonius sp.,1,2,7,34,29,5,1,,,,,,,1,,1,,,4,1,,25,2,,2,2,4,,,,1,,3,,,,,,,8,3,,,1,,,,,,,,2,,,5,15,,2,5,1,,1,,,,2,,6,,1,,,15,13,26,2,,4,8,7,2,,,15,,4,1,,,1,4,,2,,1,4,,,3,1,4,1,,2,,4,1,,,2,,2,,,1,1,,,4,4,,,2,3,15,,,,4,20,48,7,,,,,,,,,,,9,3,,,1,,1,3,1,16,,3,28,1,2,1,2,
Belba sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachychthoniidae,3,3,25,32,29,5,2,5,13,52,2,,21,4,11,10,4,7,4,2,2,3,2,5,37,20,20,3,14,5,7,10,8,93,5,3,7,4,2,3,31,63,19,36,29,3,7,33,20,6,21,56,5,8,18,31,8,38,50,26,6,8,21,9,11,4,22,56,7,27,15,16,31,22,62,56,29,22,122,107,86,15,27,108,35,7,23,7,15,18,59,16,9,10,11,19,5,7,11,33,16,40,24,23,24,16,34,17,21,1,8,5,11,38,87,1,43,33,21,15,26,8,13,15,46,8,22,2,11,105,139,28,10,28,30,2,5,1,,,2,2,21,14,,14,6,5,4,7,18,26,2,9,40,27,8,19,10,4
Caenobelba sp.,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,2,,,1,,,,,,,,,,,3,,1,2,,,7,,,1,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,
Camisia sp.,,,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaeolus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discoppia sp.,,,,3,4,1,,,,1,,,,,,,,,1,,1,,,6,19,16,,,,,1,,4,1,,,,,,,,2,25,,7,,,,,,,12,1,,1,,,1,1,2,,,1,,,1,,6,2,5,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,3,,,1,,,,,,,,3,1,,,,,2,,24,,,,,1,,,,,2,,,,,,,,2,,,1,,,,,,,,,4,,3,1,,,,,,,1,,,
Eniochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
Epilohmannia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,3,,,,,,,,,,1,,,,,3,,,,,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,10,4,,1,,,
