Sam,I O OM 0-3,I O OM 3-6,I O OM 6-9,I O OM 9-12,E I Min,I 30 OM 0-3,I 30 OM 3-6,I 30 OM 6-8,J 30 Min,I E OM 0-3,I E OM 3-6,N E Min 0-3,N O OM 0-3,N O OM 3-6,N O OM 6-9,N 30 OM 0-3,N 30 OM 3-6,N 30 Min,J 0 OM 0-3,J 0 OM 3-6,N E OM 3-6,N E OM 3-6,J 0 Min,S 0 Min,L E Min,M 0 OM 0-3,M 0 OM 3-6,M 0 Min,S E OM 0-3,S E OM 3-6,S E OM 6-9,S E OM 9-12,I 30 Min,N 0 Min,M E Min,M E OM 0-3,M E OM 3-6,S 0 OM 0-3,S O OM 3-6,S O OM 6-9,S 0 OM 9-12,S 0 OM 12-15,S 0 OM 15-18,B E OM 0-3,B E OM 3-6,B E OM 6-9,B E OM 9-12,B E OM 12-15,B E OM 15-18,B E OM 18-21,L E OM 0-3,L E OM 3-6,B 30 Min,L 30 OM 0-3,L 30 OM 3-6,L 30 OM 6-9,T E Min 3,S 30 OM 0-3,S 30 OM 3-6,S 30 OM 6-9,S 30 OM 9-12,S E Min 3,T 30 Min 3,M 30 OM 0-3,M 30 OM 3-6,M 30 OM 6-9,C E OM 0-3,C E OM 3-6,C E OM 6-9,D 0 Min,E 0 OM 0-3,E 0 OM 3-6,E 0 OM 6-9,E 0 OM 9-12,C 0 OM 0-3,C 0 OM 3-6,C 0 OM 6-9,E E OM 0-3,E E OM 3-6,E E OM 6-9,E E Min,E 30 Min,TU3 Plot3 Min,TU3 Plot3 OM 0-3,TU3 Plot3 OM 3-6,TU3 Plot3 OM 6-9,TU3 Plot3 OM 9-12,TU3 Plot3 OM 12-15,TU3 Plot3 OM 15-18,D E min,D 0 OM 0-3,D 0 OM 3-6,D 0 OM 6-9 ,D 0 OM 9-12,TU3 Plot2 Min,E 30 OM 0-3,E 30 OM 3-6,E 30 OM 6-9,E 30 OM 9-12,D 30 Min,D E OM 0-3,D E OM 3-6,D E OM 6-9,TU3-4 OM 0-3,TU3-4 OM 3-6,TU3-4 OM 6-9,TU3-4 OM 9-12,C E Min,C 30 OM 0-3,C 30 OM 3-6,C 30 OM 6-9,C 30 OM 9-12,C 30 OM 12-15,C 30 Min,E 0 Min,D 30 OM 0-3,D 30 OM 3-6,D 30 OM 6-9,D 30 OM 9-12,C 0 Min,T 30 OM 0-3,T 30 OM 3-6,T 30 OM 6-9,T 0 OM 0-3,T 0 OM 3-6,T 0 OM 6-9,T 0 Min,J E OM 0-3,J E OM 3-6,J E OM 6-9,L 0 OM 0-3,L 0 OM 3-6,T E OM 0-3,T E OM 3-6,T E OM 6-9,S 30 Min,L 30 Min,R 0 OM 0-3,R 0 OM 3-6,R 0 OM 6-9,R 0 OM 9-12,R E OM 0-3,R E OM 3-6,R E OM 6-9,R E OM 9-12,P 0 OM 0-3,P 0 OM 3-6,P 0 OM 6-9,P E Min,P E OM 0-3,P E OM 3-6,P E OM 6-9,P E OM 9-12,R 30 OM 0-3,R 30 OM 3-6,R 30 OM 6-9,R 30 OM 9-12,R 30 OM 12-15,R 30 OM 15-18,A E OM 0-3,A E OM 3-6,A E OM 6-9,A E OM 9-12,P 30 OM 0-3,P 30 OM 3-6,P 30 OM 6-9,P 30 OM 9-12,P 30 OM 12-15,P 30 OM 15-18,B 30 OM 0-3,B 30 OM 3-6,B 30 OM 6-9,B 30 OM 9-12,G 0 OM 0-3,G 0 OM 3-6,G 0 OM 6-9,G 0 OM 9-12,G E Min,I 0 Min,G 30 Min,B E Min,M 30 Min,B 0 Min,F E OM 0-3,F E OM 3-6,F E OM 6-9,F E OM 9-12,F E OM 12-15,B 0 OM 0-3,B 0 OM 3-6,B 0 OM 6-9,B 0 OM 9-12,B 0 OM 12-15,B 0 OM 15-18,B 0 OM 18-21,A 0 OM 0-3,A 0 OM 3-6,A 0 OM 6-9,A 0 OM 9-12,F 30 OM 0-3,F 30 OM 3-6,F 30 OM 6-9,F 30 OM 9-12,R E Min,L 0 Min,A 30 Min,R 30 Min,F 0 Min,TU2-1 OM 0-3,TU2-1 OM 3-6,TU2-1 OM 6-9,TU2-1 OM 9-12,TU2-1 OM 12-15,TU2-2 Min,TU2-1 Min,TU2-2 OM 0-3,TU2-2 OM 3-6,TU2-2 OM 6-9,TU2-2 OM 9-12,TU2-2 OM 12-15,TU2-2 OM 15-18,A E Min,G 30 OM 0-3,G 30 OM 3-6,G 30 OM 6-9,G 30 OM 9-12,A 0 Min,TU2-3 OM 0-3,TU2-3 OM 3-6,TU2-3 OM 6-9,TU2-3 OM 9-12,A 30 OM 0-3,A 30 OM 3-6,A 30 OM 6-9,A 30 OM 9-12,A 30 OM 12-15,A 30 OM 15-18,TU2-4 Min,TU2-4 OM 0-3,TU2-4 OM 3-6,TU2-4 OM 6-9,TU2-4 OM 9-12,TU2-4 OM 12-15,TU2-3 Min,P 0 Min,G 0 Min,F E Min,J 30 OM 0-3,J 30 OM 3-6,J 30 OM 6-9,F 0 OM 0-3,F 0 OM 3-6,F 0 OM 6-9,F 0 OM 9-12,F 0 OM 12-15
Allosuctobelba sp.,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,2,,,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,3,,,,
Astigmata,,1,1,1,,0,,1,1,14,,,5,2,,,,,1,,3,,,,,11,,,5,,,,5,,,2,,9,1,3,,,,6,,,,,5,,1,1,,6,2,16,1,2,3,,1,,,4,6,4,3,,1,,10,1,,2,1,1,1,7,6,2,,,,9,,3,,,,,,,,,,5,,,,,,,,,5,2,3,,2,1,,,,,,2,1,2,,,3,,,4,1,,,1,,2,,,2,1,,2,1,2,,1,1,1,4,11,,3,,,1,5,,,3,8,,,,2,,,1,,,,,2,,,,1,,,,2,,,,1,1,,,,,1,3,,,,9,1,1,,,1,1,8,3,,,2,,,1,,,,,,12,,1,1,,,,1,,,,,,,4,,1,,,,,,,16,1,1,,2,3,1,1,,,,,,,,,3,,,,,,,
Atopochthonius sp.,5,7,1,3,0,13,3,1,0,,1,,38,9,,26,,,10,3,15,12,,,,51,6,2,20,3,2,,1,,1,9,2,12,,2,,,,3,,,,,,,39,9,,8,13,4,2,44,3,2,9,,,51,1,2,7,23,,,18,2,,,1,9,,1,1,,,,,5,5,1,,7,,,1,2,1,1,,3,,,,,9,8,3,5,5,1,,,4,3,,,,1,,,,,,,7,5,1,,3,1,1,4,,,7,1,1,2,,,4,9,13,1,8,4,3,,,11,7,2,1,,6,2,1,42,10,7,3,3,1,,12,1,2,1,3,6,1,1,,1,3,,,,1,,,1,,,,,,9,7,1,,,4,2,,,1,,,2,11,,,11,5,1,,,,,,,7,6,1,3,,,,1,11,2,,2,,,8,1,,,,10,5,2,4,,1,,,,,,8,15,1,1,1,,2,,,2,1,6,,17,2,1,
Belba sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,1,115,32,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachychthoniidae,94,33,38,27,7,117,93,26,12,25,30,30,62,22,2,115,40,15,127,56,35,16,6,5,43,96,28,3,100,15,62,5,15,2,39,173,33,65,25,59,12,,1,63,31,20,9,6,7,,107,30,2,90,75,37,7,64,36,7,36,2,2,90,4,3,48,85,5,,66,13,23,8,26,59,61,43,7,10,,3,,29,38,12,10,8,5,1,26,35,6,4,3,64,35,12,9,5,38,50,14,42,26,5,21,5,55,89,27,19,15,1,1,17,32,7,10,,43,91,25,24,24,11,11,67,22,4,65,42,13,15,18,2,41,131,113,40,34,25,63,12,20,84,155,97,16,21,47,39,21,60,76,,,,,11,73,57,26,30,75,70,22,14,10,4,4,3,1,12,21,20,3,4,7,,4,24,3,34,28,22,7,4,35,37,7,2,1,3,10,42,71,20,17,52,77,17,5,3,2,3,1,3,6,8,10,,2,1,1,26,37,16,8,10,7,7,22,9,1,,5,38,17,19,43,90,24,9,5,2,4,,14,99,7,12,11,2,52,11,3,40,17,15,9,152,50,22,8
Caenobelba sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
Carabodes sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,11,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratoppia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratozetes sp.,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Damaeolus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
