,F 0 OM 6-9,F 0 OM 9-12,F 0 OM 12-15,G E OM 0-3,G E OM 3-6,G E OM 6-9,TU3-1 OM 0-3,TU3-1 OM 3-6,TU3-1 OM 6-9,TU3-1 OM 9-12,TU3-2 OM 0-3,TU3-2 OM 3-6,TU3-2 OM 6-9,TU3-2 OM 9-12,TU3-2 OM 12-15,TU3-2 OM 15-18,TU3-3 Min,R 0 Min,TU3-1 Min,F 30 Min,TU3-4 Min,P 30 Min,J E Min
Allosuctobelba sp.,,,,1,1,,,,,,1,,,,,,,,,,,,
Astigmata,,,,3,,2,,,,,10,1,2,3,,,,,,,,,
Atopochthonius sp.,2,1,,3,1,1,1,,,1,,,,,1,,,,,,,,
Belba sp.,,,,,,,,,,,,,,,,,,,,,,,
Brachychthoniidae,50,22,8,14,22,10,6,9,3,11,9,8,4,10,,1,,4,8,,14,18,
Caenobelba sp.,,,,,,,,,,,,,,,,,,,,,,,
Carabodes sp.,,,,,,,,,,,,,,,,,,,,,,,
Ceratoppia sp.,,,,1,,1,,,,,,,,,,1,,,,,,,
Ceratozetes sp.,,,,,,1,,,,,,,,,,,,,,,,,
Damaeolus sp.,,,,,,,,,,,,,,,,,,,,,,,
Dentachipteria sp.,,,,1,,,,,,,,,,,,,,,,,,,
Discoppia sp.,,,,,,,,,,,,,,,,,,,5,1,,,2
Eniochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,
Epilohmannia sp.,7,5,4,9,13,2,,,,,2,2,,,,,,,,,,1,
Eremeaus sp.,,,,,,,,,,,,,,,,,,,,,,,
Eueremaeus sp.,,,,,,,,,,,,,,,,,,,,,,,
Eupelops sp.,,,,,,,,,,,,,,,,,,,,,,,
Eupterotegeaus sp. 1,,,,,,,,,,,,,,,,,,,,,,,
Eupterotegeaus sp. 2,,,,,,,,,,,,,,,,,,,,,,,
Gehypochthonius sp.,,,,,,,,,,4,,,,,,,,,1,,6,,
Heminothrus sp.,,,,,,,2,,,,,,,,,,,,,,1,,
Hermannia sp.,,,,,,,,,,,,,,,,,,,,,,,1
Hermanniella sp. 1 ,,,,,,,,,,,,,,,,,,,,,,,
Hermanniella sp. 2 ,,,,,,,3,,,,,,,,,,1,,,,,,
Hypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,
Liacarus sp. 1,,,,2,1,2,,,,1,,,,,,,,,,,,,
Liacarus sp. 2,,,,,,,,,,,,,,,,,,,,,,,
Maerkelotrita sp.,,,,,,,,,,,,,,,,,,,,,,,
Malacanothrus sp.,,,,,,,,,,,2,,,,,,,,,,,,
Nanhermannia sp. 1,2,1,,19,21,8,,4,1,2,2,1,,,,,,,,,,,
Nanhermannia sp. 2,,,,,,,,,,,9,,,,,,,,,,,,
Nothrus sp. 1,,,,,,,,,,,5,,,,,,,,,,1,3,1
Nothrus sp. 2,2,,,,,,,,,,,,,,,,,,,,,,
Oppiella nova,2,6,2,6,9,13,8,1,1,,24,19,10,7,1,4,,1,1,,,7,
Oribotritia sp.,,,,,,,,,,1,,,,,,,,,3,,6,,2
Paleacarus sp.,,,,,,,1,,,,,,,,,,,,,,,1,
Parhypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,
Peltenuiala sp.,,,,,,,,,,,,,,,,,,,,,,,
Phthiracarus sp.,2,,1,51,6,1,22,3,1,2,6,,,,,,1,1,,1,,,
Pterochthonius sp.,,,,8,,,4,,,,1,,,,,,,,,,,,
Quadroppia sp.,3,,,13,2,1,1,1,,1,13,6,,,,,,,,,,1,
Quatrobelba sp.,,,,,,,,,,,,,,,,,,,,,,,
Ramusella sp.,,,,,,,,,,,,,,,,,,,,,,,
Rhinosuctobelba sp.,,,,1,,,,,,,,,,,,,,,,,,,
Rhysotritia sp.,,,,,,,,,,,,,,,,,,,,,,,
Scheloribates sp.,,,,,1,,,,,,,,,,,,,,,,,,
Sphodrocepheus sp.,,,,,,,,,,,,,,,,,,,,,,,
Suctobelbella sp. 1,2,,,6,5,5,4,6,,,12,3,,,,,,,,,,2,
Suctobelbella sp. 2,2,1,,4,12,2,6,4,,,5,10,2,1,,,,,,,,,
Suctobelbella sp. 3,,,,,1,,,,,,,,,,,,,,,,,,
Suctobelbella sp. 4,,,,3,7,2,,1,,,,,,1,,,,,4,,,1,
