DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,,
31-Oct-05,04/11/2005,18A,23B,N,0,OM,0-3,45.27,62.89,54.2,8.93,1,
31-Oct-05,04-Nov-05,18B,103,N,0,OM,3-6,42.49,62.33,59.53,17.04,,
31-Oct-05,04-Nov-05,18C,not used,,,,,,,,,,
31-Oct-05,04-Nov-05,18D,4,N,0,OM,6-9,46.47,67.2,52.5,6.03,,
31-Oct-05,04-Nov-05,17A,2,N,0,OM,9-12,46.56,81.39,68.81,22.25,,
31-Oct-05,04-Nov-05,17B,1,N,0,Min,,46.12,92.11,83.4,37.28,,
31-Oct-05,04-Nov-05,17C,4A,N,E,OM,0-3,44.07,56.83,48.4,4.33,1,
31-Oct-05,04-Nov-05,17D,65,N,E,OM,3-6,46.36,76.41,48.1,1.74,,
31-Oct-05,04-Nov-05,16A,34,N,E,OM,6-9,45.86,65.62,54.7,8.84,,
31-Oct-05,04-Nov-05,16B,64,N,E,Min,,43.02,99.03,54.9,11.88,,
31-Oct-05,04-Nov-05,16C,56,N,5,OM,0-3,45.66,71.58,55.09,9.43,2,
31-Oct-05,04-Nov-05,16D,66,N,5,OM,3-6,45.62,72.76,56.1,10.48,,
31-Oct-05,04-Nov-05,15A,30,N,5,OM,6-9,45.28,79.72,56.38,11.1,,
31-Oct-05,04-Nov-05,15B,65,N,5,Min,,43.04,108.35,93.4,50.36,,
31-Oct-05,04-Nov-05,15C,54,N,10,OM,0-3,43.62,56.11,47.97,4.35,1,
31-Oct-05,04-Nov-05,15D,15,N,10,OM,3-6,45.16,64.54,52.33,7.17,,
31-Oct-05,04-Nov-05,14A,72,N,10,OM,6-9,44.44,63.5,50.3,5.86,,
31-Oct-05,04-Nov-05,14B,24,N,10,Min,,45.34,103.26,86.76,41.42,,
31-Oct-05,04-Nov-05,14C,2B,N,15,OM,0-3,45.81,66.55,52.86,7.05,1,
31-Oct-05,04-Nov-05,14D,7,N,15,OM,3-6,43.56,59.87,49.97,6.41,,
31-Oct-05,04-Nov-05,13A,1,N,15,OM,6-9,44.67,64.62,54.44,9.77,,
31-Oct-05,04-Nov-05,13B,62,N,15,Min,,46.47,78.49,62.53,16.06,,
31-Oct-05,04-Nov-05,13C,68,N,20,OM,0-3,44.14,66.75,53.85,9.71,1,
31-Oct-05,04-Nov-05,13D,53,N,20,OM,3-6,46.22,91.76,64.34,18.12,,
31-Oct-05,04-Nov-05,12A,35,N,20,OM,6-9,44.05,80.18,52.36,8.31,,
31-Oct-05,04-Nov-05,12B,28,N,20,OM,9-12,44.83,88.58,57.04,12.21,,
31-Oct-05,04-Nov-05,12C,56,N,20,OM,12-15,44.98,82.08,56.21,11.23,,
31-Oct-05,04-Nov-05,12D,60,N,20,OM,15-18,44.11,70.4,53.93,9.82,,wood
31-Oct-05,04-Nov-05,11A,58,N,20,OM,18-21,44.12,77.14,58.17,14.05,,wood
31-Oct-05,04-Nov-05,11B,62,N,20,OM,21-24,45.79,65.63,52.01,6.22,,wood
31-Oct-05,04-Nov-05,11C,40,N,20,OM,24-27,45.01,63.03,50.92,5.91,,wood
31-Oct-05,04-Nov-05,11D,15,N,20,Min,,44.53,60.65,51.15,6.62,,
31-Oct-05,04-Nov-05,10A,157,N,30,mix,0-3,46.24,82.62,64.93,18.69,3,
31-Oct-05,04-Nov-05,10B,62,N,30,mix,3-6,45.75,75.63,58.33,12.58,,
31-Oct-05,04-Nov-05,10C,57,N,30,mix,6-9,43.36,78.52,57.9,14.54,,
